id;kasa_miktar;hareket;tarih
1;97528;dynamic;2020-01-07T02:28:35
2;47858;Slovakia (Slovak Republic) Automotive;2020-01-07T11:18:16
3;56703;Handmade;2020-01-06T17:55:45
4;98720;project Montana;2020-01-06T16:21:41
5;60362;Integrated;2020-01-07T15:13:35
6;55601;bypassing Metal Specialist;2020-01-06T22:05:26
7;23257;Generic Granite Chair Crescent navigate;2020-01-07T13:15:23
8;23209;mobile lime;2020-01-07T15:35:00
9;59297;Identity Kids Global;2020-01-07T01:55:08
10;72302;Chief Sleek;2020-01-07T06:48:03
