id;kisi_adi;notlar;tarih;active;tenant_id
1;productivity Avon invoice;Tanzanian Shilling;2020-01-07T03:29:04;false;1
2;Mississippi;secured line;2020-01-07T02:05:25;true;1
3;Latvia;groupware communities Forward;2020-01-07T10:46:12;true;1
4;copying;Concrete Streamlined;2020-01-07T01:28:58;true;1
5;Toys Producer;orange Unbranded Brunei Dollar;2020-01-06T18:15:55;false;2
6;schemas EXE Kids;bandwidth;2020-01-07T04:11:51;true;2
7;Agent Ball;Legacy;2020-01-07T15:22:28;true;1
8;Movies magenta Optional;gold Key;2020-01-07T00:12:26;true;1
9;yellow feed;Product;2020-01-07T08:06:39;true;1
10;SQL COM;Outdoors Handcrafted;2020-01-06T19:50:12;true;1
