id;kasa;pirot;fark;fark_denge;nobet_suresi;notlar;acilis_kapanis;tarih
1;81572;96334;63091;26787;74130;next generation Union protocol;KAPANIS;2020-01-07T12:59:29
2;92349;24734;52334;27106;29006;Tactics AI;ACILIS;2020-01-06T23:54:32
3;50163;6836;99032;41069;73020;Optimized;ACILIS;2020-01-06T19:41:25
4;74588;57334;44225;37145;48893;Home Loan Account Front-line;KAPANIS;2020-01-07T05:52:37
5;80139;5197;71014;61580;16182;SMTP cutting-edge;KAPANIS;2020-01-07T03:07:09
6;64225;96160;51169;87187;10312;index action-items;ACILIS;2020-01-06T22:47:30
7;24041;47233;2881;16376;78509;haptic Generic;ACILIS;2020-01-07T11:32:07
8;39761;72991;28509;99306;35221;Vatu;KAPANIS;2020-01-07T03:58:10
9;15427;30443;29843;18339;22886;Berkshire Clothing transmit;KAPANIS;2020-01-06T17:15:59
10;31254;89060;87033;63942;83415;Finland;ACILIS;2020-01-07T01:49:53
