id;amortisman;gider_pusula_mustahsil;dukkan_gider;kooperatif_calisma;dayanisma;fire;tenant_id
1;76161;74309;679;94949;14000;8503;kadikoy
2;95882;88294;1639;76870;48350;10693;kadikoy
3;45828;77461;33235;97735;13357;77985;kadikoy
4;63838;91445;90691;49875;12930;90206;besiktas
5;47228;57615;80753;55971;98708;3123;kadikoy
6;22559;47898;14966;89788;13964;90123;besiktas
7;48726;58297;73182;23064;76651;77350;kadikoy
8;2727;47818;69982;77526;92937;40871;kadikoy
9;57473;14304;64295;3170;80252;1751;kadikoy
10;6210;82800;70665;67049;67249;36046;kadikoy
