id;tutar;notlar;cikis_hesabi;giris_hesabi;tarih;tenant_id
1;53726;capacitor;BANKA;KASA;2020-01-03T05:44:48;2
2;22493;transmit;KASA;BANKA;2020-01-03T08:16:39;1
3;34995;access;BANKA;BANKA;2020-01-02T15:53:42;1
4;10193;Bacon;BANKA;KASA;2020-01-02T12:10:40;1
5;26117;Fort global;KASA;KASA;2020-01-02T12:17:37;1
6;88894;Concrete;BANKA;BANKA;2020-01-03T08:44:42;1
7;43852;navigate Upgradable;BANKA;BANKA;2020-01-02T13:49:57;2
8;88846;Money Market Account Ferry;BANKA;KASA;2020-01-02T15:00:14;1
9;10795;Rubber eyeballs Small Granite Salad;KASA;KASA;2020-01-03T04:01:39;1
10;89795;recontextualize Cambridgeshire;BANKA;KASA;2020-01-03T08:01:47;1
